-11.464,-16.652,39.552,-76.000,-97.600,108.200
-7.520,-16.607,41.976,-72.000,-97.500,110.600
-5.996,-19.259,40.446,-70.500,-100.200,109.100
-5.693,-20.147,40.656,-70.200,-101.100,109.300
-5.888,-19.648,39.833,-70.400,-100.600,108.500
-6.088,-19.746,40.041,-70.600,-100.700,108.700
-5.187,-20.241,39.626,-69.700,-101.200,108.300
-4.888,-21.133,40.247,-69.400,-102.100,108.900
-4.874,-20.329,38.085,-69.400,-101.300,106.800
-4.890,-20.541,39.934,-69.400,-101.500,108.600
-3.898,-21.934,41.065,-68.400,-102.900,109.700
-4.215,-20.663,42.083,-68.700,-101.600,110.700
-2.614,-19.376,39.491,-67.100,-100.300,108.200
-0.920,-20.273,39.380,-65.400,-101.200,108.100
-2.225,-18.891,39.893,-66.700,-99.800,108.600
0.839,-17.737,39.956,-63.600,-98.600,108.700
5.391,-16.695,40.210,-59.000,-97.500,109.000
5.473,-14.534,40.190,-58.900,-95.300,109.000
6.848,-13.468,40.680,-57.500,-94.200,109.500
8.537,-13.281,40.252,-55.800,-94.000,109.100
7.609,-12.217,43.021,-56.700,-92.900,111.800
9.603,-10.837,40.733,-54.700,-91.500,109.600
9.980,-9.374,41.639,-54.300,-90.000,110.500
11.961,-9.590,42.032,-52.300,-90.200,110.900
12.161,-9.293,41.617,-52.100,-89.900,110.500
13.046,-6.535,40.045,-51.200,-87.100,109.000
14.311,-4.885,41.249,-49.900,-85.400,110.200
15.393,-3.615,41.125,-48.800,-84.100,110.100
17.178,-3.135,40.693,-47.000,-83.600,109.700
18.952,-0.288,39.419,-45.200,-80.700,108.500
17.344,2.081,39.619,-46.800,-78.300,108.700
18.524,3.547,39.492,-45.600,-76.800,108.600
19.403,5.705,39.054,-44.700,-74.600,108.200
18.506,7.293,38.125,-45.600,-73.000,107.300
18.094,6.985,40.081,-46.000,-73.300,109.200
17.468,9.437,41.193,-46.600,-70.800,110.300
17.083,11.431,38.204,-47.000,-68.800,107.400
16.764,14.383,37.976,-47.300,-65.800,107.200
15.859,15.270,38.490,-48.200,-64.900,107.700
15.860,15.865,37.869,-48.200,-64.300,107.100
14.677,14.297,38.510,-49.400,-65.900,107.700
14.165,16.167,38.601,-49.900,-64.000,107.800
12.568,15.973,39.849,-51.500,-64.200,109.000
10.475,16.673,40.376,-53.600,-63.500,109.500
10.389,17.181,38.526,-53.700,-63.000,107.700
7.594,17.682,39.984,-56.500,-62.500,109.100
7.794,18.276,39.259,-56.300,-61.900,108.400
5.899,17.984,40.716,-58.200,-62.200,109.800
5.188,19.262,41.327,-58.900,-60.900,110.400
4.106,20.566,39.274,-60.000,-59.600,108.400
2.802,20.959,40.514,-61.300,-59.200,109.600
1.426,19.497,40.438,-62.700,-60.700,109.500
2.318,18.202,41.672,-61.800,-62.000,110.700
0.225,17.615,43.236,-63.900,-62.600,112.200
-0.058,17.235,42.012,-64.200,-63.000,111.000
-0.358,16.839,42.634,-64.500,-63.400,111.600
-2.923,15.388,42.364,-67.100,-64.900,111.300
-7.880,12.558,44.694,-72.100,-67.800,113.500
-7.150,11.199,42.032,-71.400,-69.200,110.900
-5.781,13.448,42.101,-70.000,-66.900,111.000
-4.694,14.524,41.670,-68.900,-65.800,110.600
-4.497,13.234,42.911,-68.700,-67.100,111.800
-4.513,15.100,42.997,-68.700,-65.200,111.900
-4.611,18.666,39.786,-68.800,-61.600,108.800
-4.915,17.178,41.751,-69.100,-63.100,110.700
-5.209,18.372,40.307,-69.400,-61.900,109.300
-4.624,19.645,40.290,-68.800,-60.600,109.300
-5.735,20.328,41.834,-69.900,-59.900,110.800
-7.911,19.460,41.965,-72.100,-60.800,110.900
-8.787,17.700,41.784,-73.000,-62.600,110.700
-7.987,16.611,41.991,-72.200,-63.700,110.900
-8.977,17.512,40.967,-73.200,-62.800,109.900
-11.275,19.495,41.074,-75.500,-60.800,110.000
-13.732,19.337,38.843,-78.000,-61.000,107.800
-15.529,18.747,40.609,-79.800,-61.600,109.500
-14.531,16.171,42.161,-78.800,-64.200,111.000
-12.831,15.774,41.020,-77.100,-64.600,109.900
-14.744,16.257,43.701,-79.000,-64.100,112.500
-17.303,15.703,41.987,-81.600,-64.700,110.800
-17.487,13.936,42.005,-81.800,-66.500,110.800
-20.750,13.872,41.011,-85.100,-66.600,109.800
-23.205,11.538,40.440,-87.600,-69.000,109.200
-21.507,11.437,39.194,-85.900,-69.100,108.000
-22.800,9.266,41.482,-87.200,-71.300,110.200
-22.690,8.780,40.768,-87.100,-71.800,109.500
-20.398,6.296,41.793,-84.800,-74.300,110.500
-19.599,6.097,41.377,-84.000,-74.500,110.100
-20.181,3.737,42.019,-84.600,-76.900,110.700
-19.686,3.535,42.222,-84.100,-77.100,110.900
-19.502,4.115,43.240,-83.900,-76.500,111.900
-19.990,3.432,43.046,-84.400,-77.200,111.700
-21.072,2.361,42.964,-85.500,-78.300,111.600
-22.334,0.911,41.347,-86.800,-79.800,110.000
-22.705,-2.329,41.380,-87.200,-83.100,110.000
-22.811,-2.730,42.410,-87.300,-83.500,111.000
-22.692,-5.287,42.535,-87.200,-86.100,111.100
-23.458,-6.147,40.395,-88.000,-87.000,109.000
-23.623,-9.679,39.813,-88.200,-90.600,108.400
-22.059,-9.218,41.948,-86.600,-90.100,110.500
-21.820,-11.162,39.193,-86.400,-92.100,107.800
-21.911,-14.025,40.861,-86.500,-95.000,109.400
-19.905,-16.298,40.452,-84.500,-97.300,109.000
-18.299,-15.897,38.073,-82.900,-96.900,106.700
-17.629,-16.717,41.357,-82.200,-97.700,109.900
-15.713,-17.990,39.093,-80.300,-99.000,107.700
